"player_id","player_name","position_name","season","events","passes","shots","carries","pressures","goals","xg","assists"
3064,"David Josué Jiménez Silva","Center Attacking Midfield","2015/2016","5147","1488","29","1301","326","2","2.8350089499999997","10"
3652,"Tom Davies","Center Attacking Midfield","2015/2016","199","49","1","47","25","0","0.042697757","0"
19688,"Jason Puncheon","Center Attacking Midfield","2015/2016","5345","1408","53","1226","576","2","3.5759572955000003","3"
9528,"Steven Naismith","Center Attacking Midfield","2015/2016","2473","506","26","423","296","4","3.209564593","2"
4738,"Lee Tomlin","Center Attacking Midfield","2015/2016","559","122","4","115","80","0","0.2244991899999999","0"
9630,"Andre Green","Center Attacking Midfield","2015/2016","132","32","1","32","16","0","0.052052636","0"
41082,"Steve Sidwell","Center Attacking Midfield","2015/2016","25","7","0","4","3","0","0","0"
8061,"Siem Stefan de Jong","Center Attacking Midfield","2015/2016","820","200","8","127","108","0","0.7520500019999999","1"
3629,"Sadio Mané","Center Attacking Midfield","2015/2016","5399","1043","86","1228","505","11","12.052078225","6"
3567,"Georginio Wijnaldum","Center Attacking Midfield","2015/2016","5212","1264","54","1197","413","11","7.722146134","4"
3094,"Bamidele Alli","Center Attacking Midfield","2015/2016","5352","1094","73","1125","689","10","8.398463296300001","9"
24120,"Jamie Sterry","Center Attacking Midfield","2015/2016","4","0","0","0","3","0","0","0"
4275,"Ross Barkley","Center Attacking Midfield","2015/2016","7288","1921","95","1858","421","8","7.6849434705","8"
4417,"Ola Toivonen","Center Attacking Midfield","2015/2016","929","261","7","131","114","0","0.408329984","2"
3089,"Kevin De Bruyne","Center Attacking Midfield","2015/2016","4897","1314","48","1107","450","7","4.502264549","10"
3828,"Steven Davis","Center Attacking Midfield","2015/2016","5609","1634","20","1229","555","5","2.0640061254","3"
3535,"Roberto Firmino Barbosa de Oliveira","Center Attacking Midfield","2015/2016","4845","1045","65","971","614","10","7.3517586904000005","8"
6330,"Adnan Januzaj","Center Attacking Midfield","2015/2016","262","45","4","63","28","1","0.1948831309999999","0"
4891,"Ibrahim Afellay","Center Attacking Midfield","2015/2016","4790","1331","39","1203","346","2","2.2133037749999995","3"
3504,"Ruben Loftus-Cheek","Center Attacking Midfield","2015/2016","1112","248","14","258","128","1","1.369049881","0"
40122,"Oscar dos Santos Emboaba Júnior","Center Attacking Midfield","2015/2016","4334","1096","51","985","397","3","5.109910107699999","3"
3388,"Jack Wilshere","Center Attacking Midfield","2015/2016","340","77","1","91","33","0","0.3143006","0"
4090,"Adam David Lallana","Center Attacking Midfield","2015/2016","4656","1046","42","948","607","4","3.885753835","8"
3944,"Gylfi Þór Sigurðsson","Center Attacking Midfield","2015/2016","5306","1346","89","1036","743","11","7.495362014","4"
9638,"Jack Grealish","Center Attacking Midfield","2015/2016","1538","342","16","378","123","1","0.704957433","0"
15892,"Jordon Mutch","Center Attacking Midfield","2015/2016","1475","357","16","286","207","0","1.1795702252","0"
10966,"Wes Hoolahan","Center Attacking Midfield","2015/2016","4723","1180","26","1127","469","4","3.5316950506","7"
4913,"Bojan Krkíc Pérez","Center Attacking Midfield","2015/2016","3343","758","37","817","285","7","4.829386597399999","1"
3606,"Ander Herrera Agüera","Center Attacking Midfield","2015/2016","4070","1122","24","935","364","3","2.8249739285","2"
3496,"Mesut Özil","Center Attacking Midfield","2015/2016","8413","2511","49","2069","467","6","5.966240685399998","18"
4632,"Stephen Ireland","Center Attacking Midfield","2015/2016","638","176","3","136","82","0","0.383392195","1"
20781,"Jordan Rossiter","Center Defensive Midfield","2015/2016","34","6","0","3","13","0","0","0"
3344,"Andrew Surman","Center Defensive Midfield","2015/2016","6956","2309","16","1544","539","0","0.7623997892","3"
7780,"Lucas Pezzini Leiva","Center Defensive Midfield","2015/2016","4795","1478","10","1023","528","0","0.553640256","1"
4273,"Reece Oxford","Center Defensive Midfield","2015/2016","209","57","1","33","31","0","0.07030312","0"
3897,"Pedro Mba Obiang Avomo","Center Defensive Midfield","2015/2016","1827","478","9","366","286","0","0.32550912800000004","1"
5685,"Carlos Alberto Sánchez Moreno","Center Defensive Midfield","2015/2016","2722","795","13","595","287","0","0.4797677199999999","0"
27053,"Alexandre Dimitri Song-Billong","Center Defensive Midfield","2015/2016","1658","463","6","392","200","0","0.2153629809999999","0"
4631,"Leon Britton","Center Defensive Midfield","2015/2016","3416","1002","5","815","327","0","0.127162849","1"
13846,"Jan Kirchhoff","Center Defensive Midfield","2015/2016","2138","569","9","412","258","0","1.002113455","0"
11992,"Kevin Linford Stewart","Center Defensive Midfield","2015/2016","1612","466","5","384","153","0","0.22761357999999998","0"
3598,"Wilfried Guemiand Bony","Center Forward","2015/2016","2011","398","61","369","98","4","7.280474771","3"
3604,"Olivier Giroud","Center Forward","2015/2016","4140","825","103","579","426","16","13.017702892999997","6"
3318,"Marcus Rashford","Center Forward","2015/2016","1293","209","16","251","128","5","1.80401335","2"
9635,"Will Keane","Center Forward","2015/2016","12","0","0","0","6","0","0","0"
4271,"Andy Carroll","Center Forward","2015/2016","2181","433","55","281","164","9","6.284561378","2"
3380,"Christian Benteke Liolo","Center Forward","2015/2016","2480","493","64","321","162","9","11.003690722999998","4"
3670,"Jonathan Walters","Center Forward","2015/2016","2704","537","33","426","222","5","5.530523287999999","2"
3842,"Shane Long","Center Forward","2015/2016","3418","649","63","498","359","10","7.984430635499999","4"
5198,"Diego da Silva Costa","Center Forward","2015/2016","4531","818","70","889","334","12","11.809203979","5"
4837,"Josh Cullen","Center Forward","2015/2016","2","0","0","0","0","0","0","0"
20521,"Bafétimbi Gomis","Center Forward","2015/2016","2782","499","59","536","207","6","7.627604278500001","0"
28559,"Enner Remberto Valencia Lastra","Center Forward","2015/2016","1722","259","33","306","206","4","3.6387039443","3"
9641,"Fraizer Campbell","Center Forward","2015/2016","535","83","4","73","85","0","0.5991128099999999","0"
20641,"Connor Wickham","Center Forward","2015/2016","2282","409","35","325","258","5","4.750864302999999","3"
26699,"Emmanuel Adebayor","Center Forward","2015/2016","1199","240","12","211","121","1","2.139792485","1"
3603,"Mame Biram Diouf","Center Forward","2015/2016","1670","272","32","249","212","5","4.856480781999999","1"
42699,"Gabriel Imuetinyan Agbonlahor","Center Forward","2015/2016","1345","233","11","182","182","1","1.435095347","2"
3058,"Javier Hernández Balcázar","Center Forward","2015/2016","45","13","1","9","0","0","0.5094782","0"
45014,"Tokelo Anthony Rantie","Center Forward","2015/2016","84","11","1","17","14","0","0.11557082","0"
3442,"El-Hadji Baye Oumar Niasse","Center Forward","2015/2016","242","46","2","35","30","0","0.144330245","0"
9554,"Steven Fletcher","Center Forward","2015/2016","1621","294","23","229","143","4","2.261517854","0"
4807,"Cameron Jerome","Center Forward","2015/2016","2503","434","49","342","225","3","7.300334360999998","2"
3278,"Benik Afobe","Center Forward","2015/2016","1428","224","14","231","197","4","1.948932968","0"
3529,"Daniel Andre Sturridge","Center Forward","2015/2016","1682","327","48","368","99","8","5.1249343953999995","1"
3289,"Romelu Lukaku Menama","Center Forward","2015/2016","5562","1112","116","1047","305","18","18.1571581707","7"
19362,"Rudy Gestede","Center Forward","2015/2016","2576","594","63","288","190","5","5.2393686499999985","1"
4040,"Peter Crouch","Center Forward","2015/2016","719","156","9","73","68","0","0.5820410969999998","1"
3538,"Wayne Mark Rooney","Center Forward","2015/2016","4815","1195","71","1077","287","8","6.894919052700001","6"
13573,"Yann Kermorgant","Center Forward","2015/2016","230","62","2","35","17","0","0.14714601500000002","0"
4217,"Danny Graham","Center Forward","2015/2016","490","86","4","62","48","0","0.5011478739999999","0"
17276,"Seydou Doumbia","Center Forward","2015/2016","71","8","1","13","7","0","0.14665069","0"
4041,"José Salomón Rondón Giménez","Center Forward","2015/2016","4361","662","72","618","517","9","8.3394650601","2"
4747,"Divock Okoth Origi","Center Forward","2015/2016","1175","173","24","226","143","5","2.3073988329","1"
3908,"Nick Powell","Center Forward","2015/2016","17","2","0","1","1","0","0","0"
10457,"Patrick Bamford","Center Forward","2015/2016","636","96","10","99","78","0","1.042446711","0"
3445,"Radamel Falcao García Zárate","Center Forward","2015/2016","466","85","12","81","46","1","1.332758599","0"
30289,"Papiss Demba Cissé","Center Forward","2015/2016","2043","407","24","329","192","3","3.6073283895999997","0"
40130,"Victor Chinedu Anichebe","Center Forward","2015/2016","617","116","14","77","54","0","1.2194524850000001","0"
128704,"Emmanuel Emenike","Center Forward","2015/2016","872","153","12","146","83","0","1.810002222","0"
3569,"Daniel Nii Tackie Mensah Welbeck","Center Forward","2015/2016","976","145","20","181","111","4","3.023731793","2"
28247,"Libor Kozák","Center Forward","2015/2016","418","73","6","60","36","0","0.6748675369999999","0"
2956,"Bertrand Isidore Traoré","Center Forward","2015/2016","733","137","17","135","92","2","1.6131101399999999","1"
10955,"Harry Kane","Center Forward","2015/2016","5746","1005","158","1024","491","25","21.6354907508","2"
3440,"Tammy Bakumo-Abraham","Center Forward","2015/2016","94","14","2","14","14","0","0.171009287","0"
3966,"Charlie Austin","Center Forward","2015/2016","358","55","8","44","40","1","0.5978139399999999","0"
3085,"Glenn Murray","Center Forward","2015/2016","1272","202","27","186","181","3","4.6338354960000006","0"
4269,"Aleksandar Mitrović","Center Forward","2015/2016","4004","714","80","574","391","9","11.86097099","4"
6623,"Loïc Rémy","Center Forward","2015/2016","527","103","13","103","28","1","1.647004704","0"
3092,"Dwight Gayle","Center Forward","2015/2016","1087","154","22","151","158","3","3.10514001","0"
6950,"Alberto Paloschi","Center Forward","2015/2016","1108","202","15","169","124","2","2.843150024","1"
3346,"Joshua King","Center Forward","2015/2016","3480","457","56","600","593","6","5.836289979999998","3"
3962,"Diafra Sakho","Center Forward","2015/2016","2483","360","46","388","255","5","7.3521038910000005","1"
3616,"Callum Wilson","Center Forward","2015/2016","1124","143","18","200","146","5","3.2849409890000003","0"
3237,"Sergio Leonel Agüero del Castillo","Center Forward","2015/2016","4349","740","118","950","278","24","17.6730739255","2"
3165,"Emmanuel Rivière","Center Forward","2015/2016","183","20","3","23","37","0","0.249199327","0"
20543,"Nikica Jelavić","Center Forward","2015/2016","477","78","11","52","62","1","1.8327274986999997","1"
3265,"José Luis Sanmartín Mato","Center Forward","2015/2016","1914","376","29","268","265","4","2.5778687450000004","1"
50245,"Marouane Chamakh","Center Forward","2015/2016","450","91","2","63","63","0","0.242332913","0"
42702,"Modibo Maïga","Center Forward","2015/2016","79","12","2","12","4","1","0.448480331","0"
11062,"Graziano Pellè","Center Forward","2015/2016","3988","889","82","674","259","11","7.720267611","6"
25351,"Alexandre Rodrigues da Silva","Center Forward","2015/2016","170","26","4","29","17","1","1.90763709","0"
15996,"Éderzito António Macedo Lopes","Center Forward","2015/2016","519","85","5","86","51","0","0.395401042","0"
3337,"Jermain Defoe","Center Forward","2015/2016","3154","439","88","526","348","15","13.209875674500001","1"
23663,"Dieumerci Mbokani Bezua","Center Forward","2015/2016","2805","472","37","417","158","7","6.024289655","1"
9593,"Lewis Grabban","Center Forward","2015/2016","1663","327","19","335","219","1","2.694718444","0"
13042,"Tim Howard","Goalkeeper","2015/2016","1971","805","0","324","6","0","0","0"
4053,"Ben Foster","Goalkeeper","2015/2016","957","408","0","121","4","0","0","0"
3468,"Jordan Pickford","Goalkeeper","2015/2016","203","78","0","30","0","0","0","0"
3623,"Adrián San Miguel del Castillo","Goalkeeper","2015/2016","2487","998","0","405","2","0","0","0"
16309,"Joel Robles Blázquez","Goalkeeper","2015/2016","1209","475","0","219","2","0","0","0"
9563,"Kristoffer Nordfeldt","Goalkeeper","2015/2016","76","29","0","12","0","0","0","0"
24888,"Adam Federici","Goalkeeper","2015/2016","352","130","0","64","0","0","0","0"
3262,"Łukasz Fabiański","Goalkeeper","2015/2016","3077","1212","1","550","5","0","0.10419701","1"
3619,"Alex McCarthy","Goalkeeper","2015/2016","565","220","0","86","1","0","0","0"
5108,"Glyn Oliver Myhill","Goalkeeper","2015/2016","1582","661","0","239","0","0","0","0"
18672,"Mark Bunn","Goalkeeper","2015/2016","614","270","0","80","2","0","0","0"
12608,"Bradley Guzan","Goalkeeper","2015/2016","2095","840","0","358","2","0","0","0"
20074,"Artur Boruc","Goalkeeper","2015/2016","2191","913","0","340","4","0","0","0"
9914,"Danny Ward","Goalkeeper","2015/2016","173","58","0","34","0","0","0","0"
3509,"Thibaut Courtois","Goalkeeper","2015/2016","1583","638","0","226","4","0","0","0"
3461,"Petr Čech","Goalkeeper","2015/2016","2563","1036","0","460","3","0","0","0"
9467,"Timothy Michael Krul","Goalkeeper","2015/2016","709","281","0","116","5","0","0","0"
3537,"Jack Butland","Goalkeeper","2015/2016","2495","1013","0","431","6","0","0","1"
43121,"Kelvin Davis","Goalkeeper","2015/2016","76","29","0","6","0","0","0","0"
4892,"Sergio Germán Romero","Goalkeeper","2015/2016","362","140","0","83","1","0","0","0"
9014,"Declan Rudd","Goalkeeper","2015/2016","842","334","0","147","4","0","0","0"
5109,"Paulo Dino Gazzaniga","Goalkeeper","2015/2016","153","64","0","26","0","0","0","0"
3487,"Julián Speroni","Goalkeeper","2015/2016","158","68","0","22","0","0","0","0"
41185,"Jakob Haugaard","Goalkeeper","2015/2016","362","145","0","63","0","0","0","0"
9539,"Vito Mannone","Goalkeeper","2015/2016","1510","633","0","256","2","0","0","0"
3649,"Karl Darlow","Goalkeeper","2015/2016","609","246","0","93","2","0","0","0"
3291,"Joe Hart","Goalkeeper","2015/2016","2045","848","0","350","4","0","0","0"
3609,"Michel Vorm","Goalkeeper","2015/2016","128","49","0","31","0","0","0","0"
6871,"Costel Fane Pantilimon","Goalkeeper","2015/2016","1403","560","0","224","6","0","0","0"
3807,"Ryan Allsop","Goalkeeper","2015/2016","26","10","0","5","0","0","0","0"
31904,"Giedrius Arlauskis","Goalkeeper","2015/2016","21","6","0","5","0","0","0","0"
9985,"Ádám Bogdán","Goalkeeper","2015/2016","121","49","0","18","0","0","0","0"
3099,"Hugo Lloris","Goalkeeper","2015/2016","3098","1217","0","600","1","0","0","0"
3522,"Heurelho da Silva Gomes","Goalkeeper","2015/2016","2651","1132","0","371","7","0","0","0"
20446,"Shay Given","Goalkeeper","2015/2016","181","67","0","23","0","0","0","0"
20066,"Darren Randolph","Goalkeeper","2015/2016","457","192","1","77","0","0","0.050556086","0"
3096,"Rob Elliot","Goalkeeper","2015/2016","1647","688","0","250","2","0","0","0"
3539,"Simon Mignolet","Goalkeeper","2015/2016","2362","934","0","439","3","0","0","0"
3333,"David de Gea Quintana","Goalkeeper","2015/2016","2353","956","0","407","1","0","0","0"
3659,"Wilfredo Daniel Caballero","Goalkeeper","2015/2016","223","91","0","36","1","0","0","0"
3488,"Wayne Hennessey","Goalkeeper","2015/2016","2064","869","0","316","3","0","0","0"
3339,"Asmir Begović","Goalkeeper","2015/2016","1049","410","0","174","6","0","0","0"
4276,"David Ospina Ramírez","Goalkeeper","2015/2016","305","127","0","47","0","0","0","0"
20201,"Maarten Stekelenburg","Goalkeeper","2015/2016","1166","467","0","205","3","0","0","0"
3970,"Fraser Forster","Goalkeeper","2015/2016","1178","487","0","191","1","0","0","0"
23635,"John Ruddy","Goalkeeper","2015/2016","2189","905","0","366","6","0","0","0"
3815,"Kasper Schmeichel","Goalkeeper","2015/2016","2957","1220","0","484","6","0","0","1"
3541,"Chris Brunt","Left Back","2015/2016","2416","851","17","466","205","0","0.613524584","4"
3515,"Alberto Moreno Pérez","Left Back","2015/2016","5278","1743","34","1159","432","1","1.4703509805999995","4"
9629,"Stephen Kingsley","Left Back","2015/2016","492","155","1","102","44","0","0.015957909","1"
3321,"Patrick van Aanholt","Left Back","2015/2016","4525","1417","46","975","442","4","2.3924948018","4"
15542,"Jake-Liam Clarke-Salter","Left Back","2015/2016","27","6","0","4","6","0","0","0"
3498,"Ignacio Monreal Eraso","Left Back","2015/2016","6540","2259","13","1453","428","0","1.202076251","4"
9627,"Neil Taylor","Left Back","2015/2016","4866","1639","9","1071","347","0","0.18414756680000002","1"
40118,"Ikechi Anya","Left Back","2015/2016","2799","866","10","602","201","0","0.734730166","2"
3957,"César Azpilicueta Tanco","Left Back","2015/2016","6489","2198","11","1301","631","2","1.5438206625","4"
20045,"Ryan Bertrand","Left Back","2015/2016","4653","1565","13","992","374","1","1.2763177975000002","3"
3651,"Matt Targett","Left Back","2015/2016","1644","555","3","351","123","0","0.144222356","1"
5836,"Bryan Oviedo","Left Back","2015/2016","1830","571","5","396","160","0","0.2923534635","1"
3062,"Aaron Cresswell","Left Back","2015/2016","5583","1874","27","1292","337","2","0.8002924175999999","4"
9628,"James Grant Chester","Left Back","2015/2016","1273","404","0","218","159","0","0","0"
45389,"Thomas Robson","Left Back","2015/2016","150","56","0","29","10","0","0","0"
10967,"Robert Brady","Left Back","2015/2016","5376","1608","54","1129","530","3","3.111677499099999","2"
3520,"Jeffrey Schlupp","Left Back","2015/2016","2259","557","25","504","195","1","2.1363105979999997","2"
27146,"Aly Cissokho","Left Back","2015/2016","2716","934","4","601","207","0","0.0875349715","0"
3518,"Leighton Baines","Left Back","2015/2016","3060","1023","8","666","287","2","1.1736909825","1"
3666,"Robert Kenedy Nunes do Nascimento","Left Back","2015/2016","1270","323","13","302","102","1","0.4282245819999999","0"
3467,"Erik Pieters","Left Back","2015/2016","5971","1956","5","1234","599","0","0.07677497999999999","1"
5596,"Aleksandar Kolarov","Left Back","2015/2016","5145","1774","41","1224","232","3","1.8921825559999996","5"
4347,"Jordan Amavi","Left Back","2015/2016","1786","529","4","394","154","0","0.0751711596","2"
18947,"Sébastien Pocognoli","Left Back","2015/2016","74","30","0","15","2","0","0","1"
16027,"Kevin Mbabu","Left Back","2015/2016","218","56","1","36","42","0","0.036821686","0"
3495,"Joe Gomez","Left Back","2015/2016","847","273","1","204","52","0","0.016134378","1"
30702,"Brendan Joel Zibusiso Galloway","Left Back","2015/2016","1861","527","9","380","243","0","0.9387937190000001","1"
3345,"Charlie Daniels","Left Back","2015/2016","6606","2239","23","1565","427","3","2.934878228","5"
3065,"Paul Dummett","Left Back","2015/2016","2610","880","5","445","320","1","0.335921315","0"
3306,"Nathan Aké","Left Back","2015/2016","2727","905","17","455","302","1","1.83155637","1"
3086,"Ben Davies","Left Back","2015/2016","2537","890","9","516","194","0","0.560651818","2"
4884,"Pape N''Diaye Souaré","Left Back","2015/2016","4905","1685","11","1103","276","0","0.44084442079999997","1"
10779,"Cameron Borthwick-Jackson","Left Back","2015/2016","1401","484","1","318","107","0","0.018527634","1"
