match_id,team_id,events,passes,shots,carries,pressures,goals,xg
3753972,26,1698,455,12,294,236,2,2.146322791
3753972,28,1985,577,17,445,132,2,1.7908834997
3753973,33,1976,586,22,394,154,2,2.405319371
3753973,40,1502,377,13,262,154,2,0.886417968
3753974,29,2058,581,20,482,165,1,1.806267889
3753974,37,1504,395,10,300,192,0,1.221292012
3753975,28,2134,580,15,470,207,1,1.18296951
3753975,41,1635,429,10,327,189,1,0.490046305
3753976,1,2314,667,17,526,198,1,1.327473657
3753976,26,1625,406,11,360,172,2,1.17405024
3753977,23,1735,518,9,329,135,1,0.7222179230000001
3753977,30,1810,473,9,329,215,2,1.427871372
3753978,25,1522,454,16,266,171,2,1.407768269
3753978,26,1970,591,11,485,92,1,1.321273982
3753979,31,1891,535,20,440,92,0,0.691144955
3753979,41,1177,301,12,196,119,1,1.6724883995
3753980,1,1825,490,11,386,191,2,1.830370192
3753980,29,2062,565,8,451,224,0,0.458830763
3753981,31,1749,463,9,345,202,0,0.4005079474
3753981,59,1753,512,13,386,193,0,0.697131786
3753982,22,1592,400,11,284,208,1,1.237693633
3753982,25,1885,504,10,398,190,0,0.518473497
3753983,1,1722,502,13,374,144,3,1.647394006
3753983,26,1994,590,7,458,149,0,0.3300310939999999
3753984,24,2108,616,14,476,150,0,1.057457813
3753984,40,1312,354,12,264,102,3,0.731214484
3753985,24,1803,524,8,401,150,1,0.245268123
3753985,30,1584,474,6,310,110,0,0.415074461
3753986,24,1873,529,14,463,103,4,1.9046623937
3753986,30,1636,458,11,374,114,1,0.58647117
3753987,22,1234,314,13,213,144,1,0.62720865
3753987,38,1907,569,19,455,81,1,1.971763712
3753988,26,1896,531,13,402,172,2,1.5288385593
3753988,28,1679,414,13,353,211,3,0.9624117966
3753989,29,2113,623,17,450,158,0,1.1338910485
3753989,41,1440,388,15,319,92,3,1.9913096856
3753990,1,2281,700,20,552,101,0,1.338111885
3753990,41,1278,313,12,194,205,0,0.501764842
3753991,24,1986,504,11,345,328,3,1.1228887092
3753991,36,1901,506,4,428,196,0,0.208402952
3753992,25,1257,313,10,209,189,2,0.945182293
3753992,38,2157,649,19,495,131,1,2.337177927
3753993,41,1637,435,7,280,260,1,0.387412242
3753993,56,1936,574,18,425,136,3,1.229675192
3753994,25,1648,456,19,398,127,4,2.3921003845
3753994,31,1615,448,16,324,174,1,1.296064391
3753995,25,1549,403,14,278,170,3,1.6702326825
3753995,33,2057,592,11,444,166,1,0.4319053367
3753996,33,2224,658,21,515,118,1,1.820855655
3753996,56,1381,374,4,239,137,0,0.306293368
3753997,40,2359,687,26,607,124,2,2.6677341764
3753997,59,1335,341,5,259,158,0,0.158824904
3753998,25,1668,453,13,315,165,0,1.094180983
3753998,40,1665,433,13,337,160,2,1.4072806077
3753999,1,2277,680,17,573,107,3,2.011464325
3753999,23,1394,342,9,260,176,0,0.511569575
3754000,25,1924,605,14,433,108,1,1.7965055407
3754000,41,1305,369,11,219,129,0,0.555141903
3754001,33,2047,585,17,472,137,2,1.2854139026
3754001,37,1345,321,11,251,185,2,0.876113295
3754002,22,1837,504,10,364,188,1,0.930954673
3754002,37,1762,493,13,347,136,0,0.873260962
3754003,24,1645,465,7,336,155,1,0.617930664
3754003,39,2043,612,9,543,60,3,1.478562597
3754004,28,1575,412,15,327,166,3,2.26145355
3754004,56,1745,478,10,377,166,0,0.4287345755
3754005,30,1841,497,9,432,142,1,0.2795712055
3754005,37,1531,419,5,301,135,0,0.40443306
3754006,22,1490,429,13,275,134,3,1.679065363
3754006,27,1333,394,12,252,69,2,1.9870628995
3754007,27,1766,522,16,404,129,1,0.9523900966
3754007,30,1663,482,13,372,111,0,0.6553867645
3754008,39,2162,658,12,520,111,3,2.344005837
3754008,41,1271,322,8,238,149,0,0.4860144309999999
3754009,1,2627,778,21,656,168,1,1.736553898
3754009,31,1386,316,7,273,212,1,0.3875618627
3754010,23,1461,411,12,268,144,2,1.1592038457
3754010,37,1920,576,16,428,130,1,1.377029175
3754011,25,1508,431,16,347,130,2,1.773677128
3754011,39,2023,618,10,498,96,3,1.623534408
3754012,25,1389,380,8,288,119,1,1.067482739
3754012,33,2215,692,17,498,101,2,1.410115366
3754013,22,1224,322,9,190,190,2,0.643696642
3754013,33,2001,617,11,428,132,1,2.06070106
3754014,30,1360,353,13,255,137,2,1.075231223
3754014,39,1714,504,10,346,142,0,1.2773736449
3754015,36,1600,424,6,322,166,0,0.3240815034
3754015,39,2045,604,6,474,156,0,0.344773899
3754016,25,1658,486,20,381,109,3,1.9387079523
3754016,37,1750,472,5,382,167,1,0.269008924
3754017,26,1651,462,10,339,135,2,1.648634232
3754017,59,1518,443,9,270,170,1,1.047492547
3754018,24,2225,574,10,505,283,1,0.783318545
3754018,26,1854,516,19,380,184,3,1.8349364
3754019,33,1370,347,8,239,206,0,0.8758018527
3754019,39,2220,661,13,515,165,0,1.289497517
3754020,24,1863,518,19,427,111,1,1.833528316
3754020,28,1627,425,13,324,208,0,0.789176068
3754021,28,1879,466,11,377,258,1,0.4240502276
3754021,40,1743,461,9,362,179,3,0.760144765
3754022,31,1369,368,14,233,127,1,1.2824345756
3754022,56,1313,340,14,210,146,0,1.0310542954
3754023,22,1464,400,3,237,196,1,0.828728063
3754023,28,1689,511,4,384,119,1,0.300445785
3754024,26,2019,611,12,443,176,0,1.111024237
3754024,37,1316,347,12,189,190,3,1.050087159
3754025,33,2055,629,17,433,124,3,3.154950003
3754025,41,1291,340,11,223,157,1,1.6192393495
3754026,30,1239,327,12,212,178,1,1.1962769785
3754026,31,1577,447,17,354,126,2,1.238748557
3754027,38,2195,663,26,517,127,4,2.728081566
3754027,41,1301,350,5,228,153,1,0.522873208
3754028,25,1802,513,11,390,136,1,1.194182421
3754028,36,1562,436,16,326,111,3,1.669690246
3754029,38,2050,573,16,485,147,3,1.080982806
3754029,59,1388,368,13,246,150,1,0.460883502
3754030,23,1490,370,13,258,247,0,0.5522624965
3754030,29,1901,518,12,412,184,1,1.4061570767
3754031,39,1944,563,13,426,151,1,0.950959874
3754031,41,1216,294,21,206,178,1,1.808282101
3754032,30,2197,667,17,487,158,2,1.502928748
3754032,56,1488,405,5,288,177,1,0.327643834
3754033,22,1430,384,32,281,140,3,4.438042445
3754033,29,1839,551,10,394,113,1,1.380829187
3754034,25,1760,530,17,387,122,0,1.0568284415
3754034,29,1532,444,11,300,119,3,0.912088871
3754035,27,1257,354,13,257,67,1,1.204284599
3754035,36,1970,583,13,476,91,2,2.088062234
3754036,41,1597,441,13,324,146,2,1.129123908
3754036,59,1839,518,8,421,127,1,0.415427136
3754037,28,1754,505,16,389,141,1,1.429666863
3754037,29,2159,621,11,512,185,2,0.890678305
3754038,1,2288,680,12,531,192,1,1.557441055
3754038,56,1488,427,7,351,118,1,1.065163733
3754039,23,1518,376,11,283,150,2,1.703768405
3754039,31,1651,464,15,345,118,1,1.142375225
3754040,24,2117,615,23,540,113,1,2.46817195
3754040,56,1573,451,7,349,137,1,0.4513370176
3754041,1,2158,625,17,566,128,3,2.922745433
3754041,59,1614,445,6,348,170,0,0.301121908
3754042,24,2263,629,7,527,180,1,0.5253348335
3754042,27,1354,328,13,232,195,1,1.608316938
3754043,28,1558,418,2,275,234,0,0.25445065
3754043,38,2194,641,18,485,206,3,1.5332255784
3754044,39,2198,696,11,484,143,1,0.942133494
3754044,56,1299,320,6,252,165,2,0.923746824
3754045,22,1465,357,12,255,172,0,0.88816437
3754045,36,1905,548,20,397,136,0,1.6955960015
3754046,29,2087,614,19,478,172,1,1.891185647
3754046,31,1528,369,14,303,232,1,0.8299910110000001
3754047,24,2031,591,10,467,156,1,1.504164726
3754047,26,1749,491,9,392,114,0,0.4291813909999999
3754048,29,1594,441,9,356,104,0,0.5921424275
3754048,31,2049,584,20,462,168,0,2.66542692
3754049,22,1733,504,14,323,152,1,1.998585904
3754049,56,1531,413,9,278,208,0,0.6380323042
3754050,31,1247,329,14,197,153,2,1.1187673422
3754050,41,1800,484,19,379,185,2,1.055728661
3754051,23,1146,322,6,152,149,3,1.894453261
3754051,24,1791,570,12,351,146,0,0.629763069
3754052,27,1526,399,10,261,161,0,0.458485052
3754052,56,1689,422,7,295,218,1,0.697672533
3754053,38,2147,628,18,485,151,2,2.131559391
3754053,59,1494,380,12,300,177,0,1.1835343155
3754054,36,2201,654,19,582,81,4,2.723752841
3754054,41,1287,339,11,261,145,1,1.2441171130000002
3754055,24,2154,595,28,494,192,1,2.4303121234
3754055,33,1799,476,13,348,195,1,0.7353494558
3754056,29,1851,556,15,436,105,3,2.257550922
3754056,30,1696,512,8,374,79,4,1.464026779
3754057,38,1897,564,14,437,140,3,2.304549798
3754057,56,1450,417,11,292,142,0,0.868707546
3754058,22,1866,537,17,431,148,0,2.822870534
3754058,28,1710,465,10,311,215,0,0.936502557
3754059,27,1492,411,16,317,157,2,1.7674547106
3754059,33,1726,523,15,382,102,3,2.474998377
3754060,24,1552,417,12,334,165,1,1.171711721
3754060,29,1613,456,14,389,122,1,0.6900700563
3754061,30,1810,518,17,367,150,1,1.515248141
3754061,33,1756,492,20,340,176,1,1.375794465
3754062,27,1389,369,14,221,184,2,0.902230667
3754062,33,1980,550,14,450,167,1,1.425701522
3754063,23,2153,659,18,493,118,3,1.1316410817
3754063,59,1402,361,8,265,173,2,0.617063591
3754064,24,1989,516,18,416,246,2,1.508621445
3754064,25,1852,500,16,410,192,3,1.933693144
3754065,22,1266,317,10,170,180,1,1.07861784
3754065,38,1840,548,21,365,144,0,1.4610406488
3754066,33,1736,468,11,389,153,0,0.8010583339999999
3754066,36,1676,465,18,357,148,3,1.777268971
3754067,31,1382,375,7,255,136,1,1.240715807
3754067,40,1986,550,22,529,103,3,2.429106318
3754068,27,1212,349,11,257,44,1,0.92178184
3754068,59,1713,496,12,387,133,0,0.596219803
3754069,1,1811,522,15,377,177,1,1.8596375313
3754069,37,1778,492,15,381,146,0,1.535952321
3754070,37,1895,535,9,414,172,0,0.965034265
3754070,59,1692,468,2,333,194,0,0.0154808238
3754071,26,1670,484,11,341,154,2,1.293979337
3754071,41,1675,471,7,351,192,3,2.182373939
3754072,23,1786,508,13,338,173,1,1.849388795
3754072,41,1694,480,16,361,180,0,1.393120734
3754073,28,1428,369,15,237,174,1,1.705787983
3754073,33,2055,595,19,440,151,0,1.3390426095
3754074,26,1481,443,11,309,82,1,0.921879851
3754074,38,1820,525,21,417,130,2,1.1586061045
3754075,33,2197,650,11,500,148,4,2.144349063
3754075,59,1703,467,15,355,231,0,0.968863158
3754076,40,1737,505,19,390,106,2,2.026245143
3754076,41,1473,403,12,298,140,2,1.0939591050000002
3754077,36,2502,760,27,614,130,1,2.528722358
3754077,40,1297,304,6,236,145,2,0.79397703
3754078,26,1651,452,16,372,138,2,2.471848201
3754078,33,1701,480,10,359,138,1,0.486010593
3754079,36,2103,636,23,504,111,6,3.895753383
3754079,37,1345,350,6,255,137,1,1.255161147
3754080,23,1362,358,3,242,166,0,0.094645531
3754080,38,2193,625,26,533,148,1,2.2134976358
3754081,27,1740,464,9,321,189,1,0.722863021
3754081,39,1904,540,7,424,156,0,0.37916599
3754082,29,2326,734,15,552,87,5,2.205054852
3754082,41,1325,369,17,261,140,2,1.781054326
3754083,31,1380,378,13,238,123,2,2.144563198
3754083,33,2117,610,27,459,157,1,2.20236371
3754084,27,1314,340,5,191,188,0,0.468689686
3754084,59,1745,488,16,381,114,0,0.632857064
3754085,22,1624,439,16,299,210,3,2.548384891
3754085,26,2046,603,10,473,148,0,1.047635179
3754086,23,1659,475,7,312,170,1,1.3215356955
3754086,40,1550,422,18,338,171,3,3.637574037
3754087,24,1622,422,15,288,240,1,1.266068586
3754087,38,1979,559,18,404,162,1,1.689788995
3754088,37,2005,546,14,479,162,3,2.1130973697
3754088,39,1692,471,12,310,197,3,1.857353987
3754089,28,1559,428,8,331,155,2,0.751661777
3754089,31,1588,453,14,304,158,1,1.542731364
3754090,30,1503,426,10,339,114,0,1.3440481457
3754090,37,1569,462,15,341,95,0,1.330554626
3754091,23,1199,296,13,220,144,2,0.975737208
3754091,30,1963,581,11,463,111,0,0.4492997149
3754092,33,1585,410,13,309,173,2,0.774737798
3754092,38,1714,438,16,384,179,2,2.320955286
3754093,33,1515,418,5,267,204,0,0.271854425
3754093,38,1883,574,9,400,143,0,0.512618649
3754094,30,1884,544,10,417,153,0,0.616617983
3754094,39,1771,493,15,363,171,3,2.460498865
3754095,36,1773,463,7,394,141,1,0.582714412
3754095,41,1734,487,12,293,208,0,1.18569443
3754096,30,1685,441,12,341,163,0,1.460851157
3754096,40,1447,418,24,289,97,0,1.7840530743
3754097,38,1821,540,9,393,166,0,0.584645919
3754097,39,1959,544,9,457,207,0,0.525077494
3754098,24,2074,616,16,438,165,3,0.8882473424
3754098,33,1709,449,8,375,165,1,0.491467075
3754099,27,1279,335,6,204,164,0,0.204094284
3754099,31,1791,533,20,423,86,2,1.867026553
3754100,37,1740,483,17,345,140,1,1.487952885
3754100,41,1398,337,14,264,159,1,0.6046204635
3754101,25,1767,537,10,351,131,0,0.987271448
3754101,56,1453,403,10,274,136,1,1.169261067
3754102,37,1559,411,11,326,152,6,1.880819446
3754102,56,1748,508,18,404,113,2,1.3470689025
3754103,23,1818,503,13,351,181,0,0.901031056
3754103,33,2194,593,13,532,172,0,0.939371588
3754104,30,1766,499,6,422,111,1,0.619415399
3754104,56,1459,403,22,296,150,1,2.3330701126
3754105,27,1538,452,10,321,122,2,0.8567562656
3754105,29,1808,520,12,408,145,3,1.83468255
3754106,22,1649,450,21,360,134,3,1.498125848
3754106,59,1698,481,11,324,165,2,1.216925209
3754107,39,1983,585,8,487,151,1,0.5409470644
3754107,59,1694,491,5,389,137,0,0.324509314
3754108,33,2172,679,9,474,122,2,1.1584543105
3754108,41,1365,326,14,259,229,3,0.966293928
3754109,38,1898,527,22,405,156,4,2.660931293
3754109,40,1591,448,10,278,189,1,0.7501930330000001
3754110,36,1817,493,16,380,120,2,1.819859073
3754110,40,1661,434,10,349,117,2,0.9143906526
3754111,1,1763,505,10,381,150,0,1.148608958
3754111,33,1978,604,12,409,136,1,1.18311362
3754112,25,1534,427,14,303,146,2,1.329681392
3754112,37,1834,566,10,407,99,2,1.613829301
3754113,25,2015,614,23,511,110,1,2.92580116
3754113,59,1383,367,9,283,131,1,0.8075088213999999
3754114,31,1597,403,8,325,185,0,0.919569089
3754114,33,2186,622,10,490,188,3,1.876364695
3754115,33,1659,467,9,268,233,1,1.100109758
3754115,59,1673,461,11,321,151,0,0.565773893
3754116,26,1680,452,12,311,203,1,1.825726522
3754116,33,2315,675,9,564,169,0,1.657183698
3754117,1,1808,556,9,366,139,2,1.952049731
3754117,59,1645,471,19,356,143,0,1.02878946
3754118,1,2477,797,19,577,60,4,2.576715334
3754118,23,1368,378,7,264,113,0,0.432057217
3754119,37,1703,509,22,381,79,0,2.89796573
3754119,41,1275,341,9,213,152,3,2.077776542
3754120,25,1293,330,8,253,125,1,0.812012415
3754120,40,1913,571,19,420,138,0,0.87702433
3754121,23,1382,348,14,208,176,0,0.909375011
3754121,28,1626,435,12,334,175,0,1.156495531
3754122,27,1484,402,18,303,149,2,2.532032643
3754122,30,1710,475,11,380,151,1,0.841048818
3754123,29,1601,437,15,310,158,3,2.270384698
3754123,56,1732,506,11,356,131,0,0.7429965544
3754124,36,1917,532,25,393,185,0,1.965376267
3754124,39,1698,437,5,319,227,1,0.5240068219999999
3754125,29,1875,507,9,443,136,2,1.346277148
3754125,33,2174,617,14,487,192,3,2.168611498
3754126,1,2030,576,20,512,114,2,2.478707666
3754126,29,1741,458,10,342,215,1,0.7926561400000001
3754127,29,1472,362,14,270,213,3,2.663293857
3754127,30,2308,664,12,586,181,0,0.6750005002
3754128,28,2024,604,12,419,170,0,1.249248071
3754128,59,1687,435,7,343,238,1,0.651934538
3754129,1,2487,722,21,572,143,0,2.1088993565000003
3754129,24,1603,388,18,277,227,0,1.453182632
3754130,56,1385,404,9,297,109,2,0.581110427
3754130,59,1605,445,7,334,131,0,0.316590806
3754131,28,1731,506,16,375,101,4,2.7379267699
3754131,40,1491,415,10,299,120,3,1.695745907
3754132,30,1460,411,11,314,110,1,0.724970782
3754132,41,1321,349,15,245,126,1,1.803449846
3754133,27,1244,364,7,217,119,1,0.595146792
3754133,56,1755,554,16,411,70,0,0.778162141
3754134,39,1770,491,3,351,143,2,0.830467973
3754134,40,1429,365,19,283,130,3,1.910855343
3754135,30,1628,445,8,340,125,2,1.528559914
3754135,36,1859,531,11,416,136,0,0.4798927317
3754136,37,1571,424,8,279,192,1,1.085260928
3754136,59,1713,477,10,341,136,1,0.380227848
3754137,25,1576,427,18,358,84,1,1.4534008985
3754137,29,1610,423,7,364,94,1,0.3211292356
3754138,31,1226,316,11,248,128,3,1.798323134
3754138,56,1823,540,17,438,149,1,1.4056107054
3754139,25,1620,452,15,329,127,1,1.1569965295
3754139,26,1712,521,13,364,76,0,0.593992511
3754140,29,1699,446,12,392,134,1,0.723844971
3754140,38,2197,632,19,548,106,1,0.8274244150000001
3754141,1,2102,606,23,527,107,0,1.291578439
3754141,40,1462,380,8,279,137,2,0.429876889
3754142,29,1929,496,7,420,260,0,0.34367785
3754142,36,2086,603,22,542,130,0,1.365025835
3754143,24,2073,624,10,433,152,0,1.1163290524
3754143,37,1501,404,6,245,163,1,0.887070621
3754144,28,1863,517,11,437,163,0,1.144768972
3754144,36,2033,594,15,518,120,4,0.7706947195
3754145,27,1414,385,9,270,177,0,0.6684409889999999
3754145,36,2604,798,20,713,116,3,1.760006581
3754146,22,1616,437,12,319,156,2,1.611006447
3754146,30,1700,488,10,388,118,2,1.3240587635
3754147,36,1952,537,18,440,186,1,1.986804738
3754147,38,2222,595,6,433,275,2,1.2557549304
3754148,38,1679,465,17,358,137,1,1.598179856
3754148,41,1313,367,13,237,132,0,1.0747495331
3754149,26,1913,541,4,404,198,1,0.179093184
3754149,36,2118,533,18,461,322,1,2.490633237
3754150,30,1742,518,7,411,86,0,0.973044956
3754150,41,1616,461,18,316,154,2,1.208077326
3754151,26,1631,484,10,295,77,1,0.478941038
3754151,56,1408,387,8,250,111,0,0.697222856
3754152,22,1783,450,16,348,192,2,3.007875148
3754152,41,1607,399,15,327,167,0,0.7835765185000001
3754153,30,1657,515,25,401,76,1,2.506100477
3754153,31,1316,378,11,297,77,2,1.9532421754
3754154,24,2328,665,13,468,233,2,0.717686025
3754154,37,1472,368,6,240,216,2,0.394944356
3754155,23,1392,387,11,264,72,1,0.468298833
3754155,27,1643,495,17,333,80,0,2.4562757815
3754156,22,1428,445,13,292,118,2,1.86315597
3754156,23,1844,602,8,360,92,1,1.075895677
3754157,28,2086,626,19,472,145,3,1.428370058
3754157,29,1609,456,11,326,112,3,0.702921212
3754158,26,1686,460,14,336,170,4,2.763622419
3754158,40,1738,479,26,391,129,0,2.839437816
3754159,28,1408,377,7,301,143,0,0.651449296
3754159,39,2416,715,12,617,144,3,1.5480998154
3754160,1,2289,744,16,555,60,3,1.842522641
3754160,41,1200,312,10,229,120,0,0.875183561
3754161,23,1482,404,12,254,168,0,0.588152031
